entry_date,exit_date,expiry_date,strategy,regime,spot_entry,vix_entry,lots,pnl,pnl_pct,outcome,max_profit,max_loss
2019-02-04,2019-02-05,2019-02-07,iron_condor,normal,10747.454324998902,23.511804587970058,15,8268.75,0.8269,profit,12.62,437.38
2019-02-18,2019-02-20,2019-02-21,iron_condor,normal,10753.560968532765,24.258285631630308,15,14590.42,1.4471,profit,14.58,435.42
2019-03-04,2019-03-06,2019-03-07,iron_condor,normal,10397.1742479698,24.226922825127073,15,7698.9,0.7527,profit,12.44,437.56
2019-03-11,2019-03-12,2019-03-14,iron_condor,low_vol,10301.120485229296,25.293353385472287,15,9742.5,0.9454,profit,14.47,435.53
2019-03-18,2019-03-19,2019-03-21,iron_condor,normal,10396.538720223409,25.336420651073198,15,13969.97,1.3429,profit,15.12,434.88
2019-03-25,2019-03-26,2019-03-28,iron_condor,low_vol,10507.51729528269,21.1945298504484,15,13736.25,1.3029,profit,20.96,329.04
2019-04-01,2019-04-03,2019-04-04,iron_condor,normal,10362.388485068903,22.151409685305786,15,8535.56,0.7992,profit,10.6,439.4
2019-04-08,2019-04-09,2019-04-11,iron_condor,low_vol,10545.662490931367,18.58773467371831,15,-2940.45,-0.2731,loss,12.83,337.17
2019-04-15,2019-04-17,2019-04-18,iron_condor,normal,10635.604741911666,22.23744208000288,15,8824.99,0.822,profit,12.34,437.66
2019-04-22,2019-04-23,2019-04-25,iron_condor,low_vol,10557.832801847993,23.16185391821132,15,6963.75,0.6433,profit,10.99,439.01
2019-04-29,2019-05-01,2019-05-02,iron_condor,normal,10606.11130845538,20.823729683213703,15,15794.82,1.4499,profit,20.33,329.67
2019-05-06,2019-05-07,2019-05-09,iron_condor,low_vol,10689.892190621473,23.463761290391364,15,7526.25,0.681,profit,12.19,437.81
2019-05-13,2019-05-15,2019-05-16,iron_condor,normal,10686.56903752258,19.258628530572256,15,20355.2,1.8293,profit,15.6,334.4
2019-05-20,2019-05-23,2019-05-23,iron_condor,low_vol,10620.464312561347,19.933334025995915,15,17533.41,1.5474,profit,17.95,332.05
2019-05-27,2019-05-30,2019-05-30,iron_condor,normal,10395.886314479314,19.681253380706075,15,-3722.12,-0.3235,loss,15.21,334.79
2019-06-03,2019-06-04,2019-06-06,short_straddle,low_vol,10631.353580420155,14.078983433634901,4,-19096.93,-1.6651,loss,108.83,
2019-06-10,2019-06-12,2019-06-13,iron_condor,normal,10687.822881516538,16.697542571182744,15,25006.47,2.2173,profit,23.47,326.53
2019-06-24,2019-06-25,2019-06-27,iron_condor,normal,10858.208511145673,16.323211671692402,13,-13556.28,-1.176,loss,16.68,333.32
2019-07-01,2019-07-04,2019-07-04,iron_condor,low_vol,10903.015423238012,17.537289333599148,13,3455.71,0.3033,profit,16.07,333.93
2019-07-08,2019-07-10,2019-07-11,iron_condor,normal,10684.737148398606,19.700708949082966,15,28370.18,2.4828,profit,17.01,332.99
2019-07-15,2019-07-18,2019-07-18,iron_condor,low_vol,10712.415559817806,20.424363308181537,15,37296.05,3.1848,profit,19.84,330.16
2019-07-22,2019-07-24,2019-07-25,iron_condor,normal,10768.160292364808,22.841060616275616,15,20303.29,1.6802,profit,14.39,435.61
2019-07-29,2019-07-31,2019-08-01,iron_condor,low_vol,10716.053613711405,20.715304128237232,15,13848.75,1.1271,profit,15.81,334.19
2019-08-05,2019-08-06,2019-08-08,iron_condor,normal,10777.568099924478,19.180806780847686,15,18100.06,1.4567,profit,21.0,329.0
2019-08-12,2019-08-14,2019-08-15,iron_condor,low_vol,10892.683770700763,18.572711049665333,15,23148.17,1.8363,profit,14.55,335.45
2019-08-19,2019-08-21,2019-08-22,iron_condor,normal,11010.958731564328,17.147165152663728,15,-8554.47,-0.6664,loss,15.15,334.85
2019-08-26,2019-08-29,2019-08-29,iron_condor,low_vol,11216.570976885467,17.69961077825929,15,7438.98,0.5834,profit,18.17,331.83
2019-09-02,2019-09-04,2019-09-05,iron_condor,normal,11144.763694891979,19.864830233986414,15,7175.34,0.5594,profit,20.36,329.64
2019-09-09,2019-09-11,2019-09-12,iron_condor,low_vol,11579.676460114151,17.71281750595233,15,28815.35,2.2341,profit,20.49,329.51
2019-09-16,2019-09-18,2019-09-19,iron_condor,normal,11516.091584141115,19.095435714421868,15,6863.71,0.5205,profit,15.23,334.77
2019-09-23,2019-09-25,2019-09-26,iron_condor,low_vol,11435.220293693774,19.007382187806975,15,24171.05,1.8236,profit,19.12,330.88
2019-09-30,2019-10-02,2019-10-03,iron_condor,normal,11423.676600896193,16.646102054489674,15,35073.17,2.5987,profit,27.85,322.15
2019-10-07,2019-10-10,2019-10-10,iron_condor,low_vol,11327.829277972105,16.544197053885657,15,-22870.03,-1.6516,loss,26.59,273.41
2019-10-14,2019-10-16,2019-10-17,iron_condor,normal,11499.758788768924,19.54045704866538,15,28425.97,2.0873,profit,21.49,328.51
2019-10-28,2019-10-30,2019-10-31,iron_condor,normal,12224.536904033504,14.765070398811936,10,23636.91,1.7001,profit,23.87,326.13
2019-11-04,2019-11-05,2019-11-07,iron_condor,low_vol,12193.2325749802,15.756857464255114,13,36287.46,2.5664,profit,21.53,278.47
2019-11-11,2019-11-13,2019-11-14,iron_condor,normal,12134.749582792972,18.75670704784296,13,16359.74,1.1281,profit,17.63,332.37
2019-11-18,2019-11-20,2019-11-21,iron_condor,low_vol,12167.33452660477,18.59875038096854,15,16518.65,1.1263,profit,17.02,332.98
2019-11-25,2019-11-28,2019-11-28,iron_condor,normal,12291.114276840666,20.152508462016716,15,34790.84,2.3458,profit,18.71,331.29
2019-12-02,2019-12-04,2019-12-05,iron_condor,low_vol,12226.32596114688,21.32581142549849,15,15849.18,1.0442,profit,18.1,331.9
2019-12-09,2019-12-11,2019-12-12,iron_condor,normal,12187.40055197788,22.9895850547937,15,11643.75,0.7592,profit,12.5,437.5
2019-12-16,2019-12-18,2019-12-19,iron_condor,low_vol,12281.97864166696,20.317824014986353,15,31960.29,2.0681,profit,19.32,330.68
2019-12-23,2019-12-25,2019-12-26,iron_condor,normal,12432.106075096137,19.451038953208123,15,23506.17,1.4902,profit,21.89,328.11
2019-12-30,2020-01-01,2020-01-02,iron_condor,low_vol,12584.185734163044,18.778937989896612,15,-4862.66,-0.3038,loss,20.23,329.77
2020-01-06,2020-01-08,2020-01-09,iron_condor,normal,12100.060056404061,19.849314275277145,13,34452.48,2.1587,profit,16.66,333.34
2020-01-13,2020-01-15,2020-01-16,iron_condor,low_vol,12005.320339911927,22.061989236163807,15,32804.47,2.012,profit,15.58,434.42
2020-01-20,2020-01-22,2020-01-23,iron_condor,normal,12051.899810014207,20.39552388803679,15,16902.01,1.0162,profit,18.24,331.76
2020-01-27,2020-01-28,2020-01-30,iron_condor,low_vol,12057.404207560745,17.8405348305514,13,-6137.36,-0.3653,loss,18.55,331.45
2020-02-03,2020-02-05,2020-02-06,iron_condor,normal,12387.397186344684,15.13540822991981,13,6967.23,0.4162,profit,20.01,329.99
2020-02-10,2020-02-12,2020-02-13,iron_condor,low_vol,12243.81560597538,13.572492808727898,10,6688.27,0.3979,profit,19.1,280.9
2020-02-17,2020-02-19,2020-02-20,iron_condor,normal,12265.223658851159,17.012046729651285,15,21145.3,1.2529,profit,16.84,333.16
2020-02-24,2020-02-27,2020-02-27,iron_condor,low_vol,12477.642837017562,15.503282220162196,15,38978.39,2.281,profit,22.29,277.71
2020-03-02,2020-03-05,2020-03-05,iron_condor,normal,12502.43232464844,16.829371542769394,15,37675.02,2.1556,profit,28.86,321.14
2020-03-09,2020-03-11,2020-03-12,iron_condor,low_vol,12641.495410078005,15.575604328433592,15,9245.06,0.5178,profit,23.28,276.72
2020-03-16,2020-03-18,2020-03-19,iron_condor,normal,13043.418890965371,14.503801202219483,15,17825.13,0.9932,profit,20.58,329.42
2020-03-23,2020-03-25,2020-03-26,short_straddle,low_vol,13132.627669998677,12.870020487685732,8,34068.29,1.8796,profit,122.59,
2020-03-30,2020-04-02,2020-04-02,iron_condor,normal,13259.840422352596,13.287885362580699,15,66433.84,3.5976,profit,22.18,327.82
2020-04-06,2020-04-08,2020-04-09,iron_condor,low_vol,13492.704744542141,17.173177084332345,15,22807.68,1.1922,profit,19.13,330.87
2020-04-13,2020-04-15,2020-04-16,iron_condor,normal,13470.206216030345,20.424328503768724,15,15325.25,0.7917,profit,22.08,327.92
2020-04-20,2020-04-22,2020-04-23,iron_condor,low_vol,13355.657703833318,17.910593542366527,15,16964.53,0.8695,profit,16.49,333.51
2020-04-27,2020-04-30,2020-04-30,iron_condor,normal,13255.421967261054,17.8762221572155,15,-124.44,-0.0063,loss,20.31,329.69
2020-05-04,2020-05-07,2020-05-07,iron_condor,low_vol,12934.671348934597,21.45411268151159,15,-9594.75,-0.4875,loss,22.96,327.04
2020-05-11,2020-05-14,2020-05-14,iron_condor,normal,13209.361350803714,16.389127746589526,15,21714.96,1.1088,profit,24.46,325.54
