ticker,trades,total_pnl,avg_pnl,win_rate
ASIANPAINT.NS,8,145856.21,18232.03,62.5
PETRONET.NS,3,130579.61,43526.54,66.67
CROMPTON.NS,6,129869.35,21644.89,83.33
BEL.NS,6,118951.28,19825.21,83.33
JSWSTEEL.NS,15,107710.99,7180.73,66.67
EICHERMOT.NS,13,98720.68,7593.9,76.92
POWERGRID.NS,14,96550.34,6896.45,64.29
COLPAL.NS,12,93184.01,7765.33,75.0
NMDC.NS,7,92482.52,13211.79,71.43
MOTHERSON.NS,14,91706.67,6550.48,57.14
LT.NS,3,84012.82,28004.27,100.0
TITAN.NS,6,73297.39,12216.23,66.67
LTIM.NS,8,66334.24,8291.78,75.0
BIOCON.NS,5,64596.11,12919.22,60.0
FEDERALBNK.NS,7,63920.51,9131.5,71.43
VBL.NS,9,61505.13,6833.9,66.67
RELIANCE.NS,3,60275.33,20091.78,66.67
TATAPOWER.NS,4,57767.12,14441.78,100.0
HINDALCO.NS,9,56267.09,6251.9,66.67
ADANIPOWER.NS,5,54031.52,10806.3,60.0
TATASTEEL.NS,11,53218.42,4838.04,45.45
BAJFINANCE.NS,13,47872.4,3682.49,53.85
MUTHOOTFIN.NS,8,47539.48,5942.44,75.0
HCLTECH.NS,4,46153.74,11538.44,50.0
DMART.NS,3,42286.75,14095.58,66.67
COALINDIA.NS,8,36847.61,4605.95,62.5
TATAMOTORS.NS,12,36687.61,3057.3,58.33
JINDALSTEL.NS,8,36405.8,4550.73,62.5
TORNTPOWER.NS,8,34946.66,4368.33,50.0
BPCL.NS,8,33260.78,4157.6,62.5
KOTAKBANK.NS,2,32092.71,16046.36,50.0
NESTLEIND.NS,12,31605.23,2633.77,41.67
VEDL.NS,6,31388.31,5231.38,66.67
GODREJCP.NS,12,31050.86,2587.57,50.0
ADANIENT.NS,14,29569.62,2112.12,50.0
BALKRISIND.NS,5,29529.21,5905.84,60.0
AUROPHARMA.NS,1,27307.28,27307.28,100.0
PFC.NS,8,26302.79,3287.85,62.5
VOLTAS.NS,8,25926.49,3240.81,50.0
ADANIPORTS.NS,11,25843.6,2349.42,63.64
TCS.NS,2,25111.43,12555.72,100.0
SBIN.NS,10,20715.42,2071.54,40.0
ATGL.NS,7,20106.27,2872.32,42.86
MARUTI.NS,4,18953.23,4738.31,50.0
SBILIFE.NS,9,17886.23,1987.36,44.44
IDEA.NS,7,14763.56,2109.08,42.86
CIPLA.NS,6,14614.21,2435.7,33.33
ABB.NS,8,14117.33,1764.67,50.0
BERGEPAINT.NS,3,14002.85,4667.62,66.67
SUNPHARMA.NS,7,10829.38,1547.05,71.43
PIDILITIND.NS,4,10334.83,2583.71,50.0
IOC.NS,7,10034.25,1433.46,42.86
ONGC.NS,9,9725.72,1080.64,66.67
RECLTD.NS,4,9666.27,2416.57,50.0
BHARTIARTL.NS,16,9371.08,585.69,50.0
GRASIM.NS,5,8917.38,1783.48,40.0
DIXON.NS,5,7673.35,1534.67,20.0
ITC.NS,7,7633.82,1090.55,71.43
TATACONSUM.NS,1,5489.82,5489.82,100.0
ICICIGI.NS,6,4189.94,698.32,50.0
BOSCHLTD.NS,3,3487.15,1162.38,66.67
NTPC.NS,12,3379.73,281.64,41.67
INDUSTOWER.NS,8,2806.35,350.79,37.5
ICICIBANK.NS,8,724.44,90.56,50.0
AARTIIND.NS,9,163.4,18.16,44.44
BRITANNIA.NS,6,-86.74,-14.46,50.0
HEROMOTOCO.NS,4,-193.66,-48.41,75.0
ALKEM.NS,9,-931.97,-103.55,33.33
SIEMENS.NS,1,-2262.68,-2262.68,0.0
LUPIN.NS,6,-2404.75,-400.79,50.0
SAIL.NS,3,-3460.44,-1153.48,0.0
HAVELLS.NS,6,-3581.14,-596.86,50.0
HINDUNILVR.NS,12,-4351.55,-362.63,58.33
DABUR.NS,5,-6337.73,-1267.55,40.0
PNB.NS,4,-6403.74,-1600.94,50.0
PERSISTENT.NS,2,-6572.09,-3286.04,50.0
ACC.NS,9,-6812.58,-756.95,44.44
AXISBANK.NS,5,-8465.45,-1693.09,40.0
NHPC.NS,8,-8853.27,-1106.66,50.0
SHREECEM.NS,4,-9460.49,-2365.12,25.0
WIPRO.NS,7,-10409.66,-1487.09,42.86
GMRINFRA.NS,3,-11080.48,-3693.49,0.0
ULTRACEMCO.NS,12,-11569.97,-964.16,58.33
AMBUJACEM.NS,4,-15133.36,-3783.34,25.0
CUMMINSIND.NS,5,-15576.53,-3115.31,40.0
TORNTPHARM.NS,12,-17963.27,-1496.94,50.0
DLF.NS,2,-19155.25,-9577.62,0.0
IDFCFIRSTB.NS,4,-19782.22,-4945.56,25.0
UPL.NS,7,-20085.81,-2869.4,42.86
INFY.NS,5,-20206.26,-4041.25,20.0
MPHASIS.NS,5,-20309.18,-4061.84,40.0
SRF.NS,9,-22091.13,-2454.57,33.33
DIVISLAB.NS,14,-24333.49,-1738.11,50.0
M&M.NS,6,-26552.09,-4425.35,50.0
HDFCBANK.NS,3,-28021.7,-9340.57,0.0
ICICIPRULI.NS,12,-30705.92,-2558.83,50.0
CHOLAFIN.NS,9,-31368.82,-3485.42,22.22
TECHM.NS,8,-32516.9,-4064.61,25.0
DEEPAKNTR.NS,4,-33762.4,-8440.6,0.0
TVSMOTOR.NS,4,-34284.12,-8571.03,50.0
DRREDDY.NS,6,-37292.45,-6215.41,33.33
PIIND.NS,4,-37711.03,-9427.76,0.0
APOLLOHOSP.NS,10,-45623.81,-4562.38,30.0
INDUSINDBK.NS,3,-47717.67,-15905.89,0.0
HAL.NS,5,-52037.32,-10407.46,0.0
COFORGE.NS,4,-54928.24,-13732.06,25.0
HDFCLIFE.NS,7,-55618.86,-7945.55,28.57
GAIL.NS,9,-66921.32,-7435.7,33.33
BAJAJ-AUTO.NS,6,-68308.34,-11384.72,33.33
MARICO.NS,6,-73017.42,-12169.57,33.33
BAJAJFINSV.NS,9,-85065.49,-9451.72,11.11
BANKBARODA.NS,4,-110108.62,-27527.16,25.0
