entry_date,exit_date,expiry_date,strategy,regime,spot_entry,vix_entry,lots,pnl,pnl_pct,outcome,max_profit,max_loss
2016-01-29,2016-02-29,,TORNTPOWER.NS,Power,3283.7339757831296,,1,-3867.59,-0.3868,loss,inf,-inf
2016-01-29,2016-02-29,,SBILIFE.NS,Financial Services,3443.0058885822896,,1,-4905.76,-0.4906,loss,inf,-inf
2016-01-29,2016-02-29,,SHREECEM.NS,Infra,1048.6457102210118,,1,-988.12,-0.0988,loss,inf,-inf
2016-01-29,2016-02-29,,AARTIIND.NS,Chemicals,1204.5636217632696,,1,-15.29,-0.0015,loss,inf,-inf
2016-01-29,2016-02-29,,DIVISLAB.NS,Pharma,1572.9492620781305,,1,932.59,0.0933,profit,inf,-inf
2016-01-29,2016-02-29,,ICICIGI.NS,Financial Services,1461.6585207978135,,1,-2194.57,-0.2195,loss,inf,-inf
2016-01-29,2016-02-29,,ONGC.NS,Energy,1872.7779984852102,,1,-9683.46,-0.9683,loss,inf,-inf
2016-01-29,2016-03-31,,BPCL.NS,Energy,4344.298172223382,,1,-10313.55,-1.0314,loss,inf,-inf
2016-02-29,2016-03-31,,SIEMENS.NS,Infra,1084.8526817499533,,1,-2262.68,-0.2263,loss,inf,-inf
2016-02-29,2016-03-31,,DIXON.NS,Consumer Durables,1284.5602328657899,,1,-5344.11,-0.5344,loss,inf,-inf
2016-02-29,2016-03-31,,AMBUJACEM.NS,Infra,2897.795984340747,,1,756.17,0.0756,profit,inf,-inf
2016-02-29,2016-03-31,,BEL.NS,Infra,2339.7055581988693,,1,4720.08,0.472,profit,inf,-inf
2016-01-29,2016-03-31,,BHARTIARTL.NS,Telecom,1479.9293418815719,,1,6406.35,0.6406,profit,inf,-inf
2016-03-31,2016-04-29,,CUMMINSIND.NS,Infra,919.7022926054476,,1,453.39,0.0453,profit,inf,-inf
2016-01-29,2016-04-29,,KOTAKBANK.NS,Banking,1124.3630437519375,,1,-7738.82,-0.7739,loss,inf,-inf
2016-02-29,2016-04-29,,ICICIPRULI.NS,Financial Services,2488.0878437706565,,1,898.74,0.0899,profit,inf,-inf
2016-03-31,2016-04-29,,BIOCON.NS,Pharma,2452.6577807485824,,1,-8116.78,-0.8117,loss,inf,-inf
2016-03-31,2016-04-29,,ICICIGI.NS,Financial Services,1627.7687196385884,,1,1808.08,0.1808,profit,inf,-inf
2016-01-29,2016-04-29,,HINDUNILVR.NS,FMCG,1694.2266237052231,,1,8995.43,0.8995,profit,inf,-inf
2016-04-29,2016-05-31,,DIXON.NS,Consumer Durables,1323.4163401466346,,1,-12308.2,-1.2308,loss,inf,-inf
2016-02-29,2016-05-31,,EICHERMOT.NS,Auto,1329.9896133835286,,1,-5874.7,-0.5875,loss,inf,-inf
2016-01-29,2016-05-31,,JSWSTEEL.NS,Metals,1137.209967345904,,1,9188.53,0.9189,profit,inf,-inf
2016-04-29,2016-05-31,,ITC.NS,FMCG,281.389163976853,,1,-1063.67,-0.1064,loss,inf,-inf
2016-04-29,2016-05-31,,BEL.NS,Infra,2882.135398279144,,1,-1203.16,-0.1203,loss,inf,-inf
2016-04-29,2016-05-31,,COFORGE.NS,IT,1756.7202432580336,,1,3991.73,0.3992,profit,inf,-inf
2016-01-29,2016-05-31,,PERSISTENT.NS,IT,849.46285244859,,1,-7804.58,-0.7805,loss,inf,-inf
2016-03-31,2016-06-30,,VBL.NS,FMCG,930.8941317016746,,1,-5228.21,-0.5228,loss,inf,-inf
2016-03-31,2016-06-30,,HINDALCO.NS,Metals,1035.5953422129994,,1,-9579.45,-0.9579,loss,inf,-inf
2016-01-29,2016-06-30,,BAJFINANCE.NS,Financial Services,1369.1759628436603,,1,14003.08,1.4003,profit,inf,-inf
2016-05-31,2016-06-30,,ICICIPRULI.NS,Financial Services,2889.343851802183,,1,-9625.86,-0.9626,loss,inf,-inf
2016-05-31,2016-06-30,,TORNTPHARM.NS,Pharma,505.30549563292567,,1,-5774.26,-0.5774,loss,inf,-inf
2016-05-31,2016-06-30,,JINDALSTEL.NS,Metals,802.6722118576545,,1,-317.8,-0.0318,loss,inf,-inf
2016-04-29,2016-06-30,,TECHM.NS,IT,4968.89643622471,,1,6904.73,0.6905,profit,inf,-inf
2016-04-29,2016-06-30,,BANKBARODA.NS,Banking,872.8213615430062,,1,-10263.26,-1.0263,loss,inf,-inf
2016-05-31,2016-06-30,,NHPC.NS,Power,1500.7024809564932,,1,7964.62,0.7965,profit,inf,-inf
