sd_multiple,wing_width,iv_hv_min,sharpe,cagr,win_rate,total_trades
1.5,400,1.0,3.397,0.48,76.0,300
1.5,400,1.1,3.374,0.46,76.2,286
1.5,400,1.2,3.132,0.41,75.1,269
1.5,300,1.0,2.535,0.34,74.3,300
1.5,300,1.1,2.508,0.33,74.5,286
1.5,300,1.2,2.294,0.29,73.2,269
0.8,400,1.2,1.077,3.84,86.2,269
0.8,300,1.2,0.992,3.08,86.2,269
1.5,200,1.0,0.98,0.12,65.7,300
1.5,200,1.1,0.962,0.12,66.1,286
0.8,400,1.1,0.902,3.61,85.7,286
1.0,300,1.2,0.899,2.0,92.6,269
0.8,200,1.2,0.882,2.16,85.9,269
0.8,400,1.0,0.881,3.66,85.3,300
1.0,400,1.2,0.854,2.31,92.6,269
0.8,300,1.1,0.829,2.87,85.7,286
1.0,400,1.0,0.827,2.45,92.0,300
1.0,400,1.1,0.822,2.37,92.3,286
1.0,300,1.1,0.82,1.98,92.3,286
1.0,300,1.0,0.814,2.03,92.0,300
1.5,200,1.2,0.813,0.1,64.3,269
0.8,300,1.0,0.789,2.86,85.3,300
1.0,200,1.2,0.788,1.39,92.6,269
0.8,150,1.2,0.774,3.01,85.1,269
0.8,200,1.1,0.755,2.03,85.3,286
0.6,400,1.2,0.693,3.48,75.1,269
0.8,150,1.1,0.67,2.84,84.6,286
0.8,200,1.0,0.668,1.91,84.7,300
1.0,200,1.1,0.647,1.27,92.3,286
0.6,400,1.1,0.632,3.45,74.8,286
1.0,200,1.0,0.621,1.26,92.0,300
0.6,300,1.2,0.601,2.6,74.3,269
0.6,400,1.0,0.596,3.42,74.7,300
1.2,200,1.0,0.592,0.76,96.0,300
0.8,150,1.0,0.584,2.64,84.0,300
0.6,300,1.1,0.564,2.62,74.1,286
1.2,300,1.0,0.545,0.99,96.0,300
1.2,200,1.1,0.528,0.66,95.8,286
0.6,300,1.0,0.505,2.49,74.0,300
1.2,400,1.0,0.5,1.13,96.0,300
1.2,150,1.0,0.496,0.51,96.0,300
1.2,300,1.1,0.489,0.87,95.8,286
1.2,200,1.2,0.488,0.59,95.9,269
1.2,400,1.1,0.448,0.99,95.8,286
1.0,150,1.0,0.43,1.08,92.0,300
1.2,150,1.1,0.43,0.43,95.8,286
1.2,300,1.2,0.429,0.74,95.9,269
1.0,150,1.2,0.421,1.06,92.6,269
1.2,150,1.2,0.412,0.39,95.9,269
1.0,150,1.1,0.393,1.01,92.3,286
1.2,400,1.2,0.382,0.82,95.9,269
0.6,200,1.2,0.307,1.82,73.6,269
0.6,200,1.1,0.29,1.83,73.4,286
0.6,150,1.2,0.285,2.04,72.9,269
0.6,150,1.1,0.256,1.96,72.7,286
0.6,200,1.0,0.218,1.47,73.3,300
0.6,150,1.0,0.215,1.72,72.7,300
1.5,150,1.0,-0.218,-0.03,56.7,300
1.5,150,1.1,-0.221,-0.03,57.3,286
1.5,150,1.2,-0.315,-0.04,55.0,269
